fips,region_id,county_name,adequacy_ratio,deficit_severity,contention_ratio,concentration,net_summer_gen_mw,inbound_thermal_sum,import_proxy_raw,import_proxy,peak_base,existing_load_adj,peak_adj,deliverable,queue_mw_active,contention,operating_dc_load_mw,import_cap_binding,frac_lines_lookup,frac_plants_county_fallback,frac_thermal_status_unknown,n_boundary_lines,n_op_plants,n_operating_dc
51105,2eed38e0-f049-4817-adee-70e307953089,Lee,0.0,-0.5,0.0,0.0,0.0,3625,1812.5,33.30757833918128,66.61515667836257,0.0,66.61515667836257,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,11,0,0
51107,74d528c5-409f-405e-842c-950f3eef19d7,Loudoun,0.0,-0.09090532042611056,0.021522866301341707,0.3154963804049579,766.0,11480,5740.0,936.2135933885293,1281.6831867770586,590.744,1872.4271867770585,0.0,310.0,40.300000000000004,590.744,True,1.0,0.0,0.0,19,3,84
51109,153ae7f7-c0ae-470c-a74a-d943eb167148,Louisa,21.430857734716426,21.430857734716426,0.25744466947916095,0.03595778685042446,2715.3,6740,3370.0,61.905923444610536,119.35984688922107,4.452,123.81184688922107,2653.3940765553893,245.19,31.8747,4.452,True,1.0,0.0,0.0,11,16,1
51111,e0410b5c-ba71-4eb5-abf6-76707f6bc31e,Lunenburg,0.0,-0.5,2.832151958982601,0.0,0.0,2140,1070.0,17.32322301576806,34.64644603153612,0.0,34.64644603153612,0.0,754.8,98.124,0.0,True,1.0,0.0,0.0,4,0,0
51113,5f4b0915-d172-41ba-9b02-dd9fd9e7b9c9,Madison,0.0,-0.5,0.0,0.0,0.0,195,97.5,19.38151123731544,38.76302247463088,0.0,38.76302247463088,0.0,0.0,0.0,0.0,True,1.0,0.0,0.2564102564102564,4,0,0
51115,021d511f-4652-43b0-afee-5582e7caab23,Mathews,0.0,-0.5,0.0,0.0,0.0,25,12.5,12.371676490905333,24.743352981810666,0.0,24.743352981810666,0.0,0.0,0.0,0.0,True,1.0,0.0,1.0,1,0,0
51117,c79787f4-7502-4983-bce5-aad1b7d813c5,Mecklenburg,2.747589541571285,2.747589541571285,0.6595310312584646,0.40905609851676306,486.5,2980,1490.0,74.9017069079204,88.5254138158408,61.278,149.8034138158408,411.59829309207953,760.0,98.8,61.278,True,1.0,0.0,0.040268456375838924,11,12,10
51119,e0ac8ddf-ae8d-425d-b91c-1a06df1ec382,Middlesex,0.0,-0.02496520739954891,0.0,0.0,15.0,970,485.0,15.788317228182915,31.57663445636583,0.0,31.57663445636583,0.0,0.0,0.0,0.0,True,1.0,0.0,0.02577319587628866,5,1,0
51121,14e37f09-88db-48d1-a106-6f98b01125f1,Montgomery,0.0,-0.4275616526811939,0.05388174457378487,0.0,19.3,4700,2350.0,133.21673336264422,266.43346672528844,0.0,266.43346672528844,0.0,110.43,14.355900000000002,0.0,True,1.0,0.0,0.0,13,4,0
51125,766a68ca-c09d-472e-86b4-0e7d4660eb78,Nelson,0.0,-0.5,0.38556007025613437,0.0,0.0,520,260.0,19.72455289508549,39.44910579017098,0.0,39.44910579017098,0.0,117.0,15.21,0.0,True,1.0,0.0,0.04807692307692308,7,0,0
51127,348e2718-3a9b-48ad-8912-09c4f249b99b,New Kent,0.0,-0.23464863579905915,0.0,0.0,20.0,5740,2870.0,37.685881246977,75.371762493954,0.0,75.371762493954,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,13,1,0
